path,name,kind,written_in,screen,language,encoding,runs,run_note,description,source,disks,sha256
kits/common/development/BASIC.SAV,BASIC.SAV,program,assembler (no runtime library),text,en,ascii,ran,,"BASIC / RAFOS V02-030 interpreter; asks which optional functions to load (ALL, NONE, OR INDIVIDUAL)",program screen,1,dbdca9ec1f447992c3baace0f397def1a0b57ba45de144497c726b85e9357459
kits/common/development/BASICO.DOC,BASICO.DOC,text,,,ru+en,koi8-r,,,"Manual of БЕЙСИК-ОМЕГА («РАЗРАБОТАН ЛЬВОВСКИМ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИМ ПРЕДПРИЯТИЕМ ""ОМЕГА""»), 363 blocks. Pages 8-14 are lost: under blocks 29-45 the diskette holds monitor swap code, not text, and the three reads of disk5 (the only disk with the file) disagree there",gap analysis 2026-09-06,1,0b22166070792f780e588dcb88d565ca1a644166b44024580ad04940cad32353
kits/common/development/BASICO.SAV,BASICO.SAV,program,assembler (no runtime library),text,ru+en,koi8-r,ran,,"Omega BASIC for the Elektronika MS 0515, edition 1-01a; the native BASIC of the machine, ready prompt in Russian",program screen,16,9ac32ba9c014a951c2094786204986fec24ba41fc6e4d0b5794337b8dadd2e94
kits/common/development/DESS.SAV,DESS.SAV,program,assembler (no runtime library),text,en,ascii,ran,prompt; answers ?DEZI-F-FilenotfoundDK:NOSUCH.XXX*,"DEZI V05.01, 'Originally written by D. Climov' (phone in the banner): an interactive octal dump viewer-cum-disassembler - full-screen word dump with ASCII gutter, BLCK/ADDR/TYPE header, a Stack line and a live 'Macro-11:' disassembly of the word at the cursor; modes words/bytes/radix/ascii/Inst, pattern search. The machine's резидентный инструмент дизассемблирования; on all five of the keeper's disks",banner + live run on DIR.SAV 2026-09-05 (screenshot with Macro-11: HALT),5,bd0665c3c8640ef5f8e6b0afefb1e4e90321116520c6cd97f9572a6b893dff2a
kits/common/development/FORLIB.OBJ,FORLIB.OBJ,object/library,,,en,ascii,,,The FORTRAN IV run-time library (105 KB) that the OMSI Pascal programs are LINKed against for RAN and the FORTRAN-declared routines,strings 2026-09-06,6,b0e071fa478a22d449f3125d3dd82cf96d9bf8aff6b549b6516e9850ab90d8a8
kits/common/development/FORTRA.SAV,FORTRA.SAV,program,assembler (no runtime library),text,en,ascii,ran,,FORTRAN compiler; prompts with * for a command line the way the RT-11 compilers do,program screen,8,02fa7a6e143ac7dc11e9529724209f5b19f156a21961aa3105b7558f73ae1ba5
kits/common/development/GETDAT.PAS,GETDAT.PAS,source,,,,,,,"getdat(var d:data) - the system date (year 1972.., month, day) unpacked from the RT-11 .DATE word with inline MACRO-11 ({$C ... }), a unit for programs that stamp their output",read from the source 2026-09-06,2,b63341ce9c24832c4e7996e921cdf56f5e766c8b7d1948a0ddd699acd4d9e346
kits/common/development/GRAPH.P1U,GRAPH.P1U,data,,,,,,,"Declarations file of the PASGRF graphics library for OMSI Pascal-1: the EXTERNAL procedure headers (InitGraph, SetColor, SetFon, SetBorder, SetPixel...) to include in a program that links with PASGRF.OBJ",read 2026-09-06,4,6fc757560c75a54cccdb0e16ddb4d2db13ca2bd1787ca9cc3a42c9bc13ac39b3
kits/common/development/K13U.SAV,K13U.SAV,program,assembler (no runtime library),text,ru+en,koi8-r,ran,"bare prompt, no answer to a bogus file name","Screen text editor of the ОСА/ОМЕГА kits (the K13/KED family; alias K52.SAV), the build eight disks carry byte-identical; two of its messages are still English («WORKING...», «Model:») - KED.SAV is the same binary with them translated. Its keyboard layout is described in R15.DOC",byte diff of the family 2026-09-06,8,c80b5bca6911dc13f1a29a0dc87f349e16011742fdc3731650cb64dba6f682a3
kits/common/development/KED.SAV,KED.SAV,program,assembler (no runtime library),text,ru+en,koi8-r,ran,"bare prompt, no answer to a bogus file name","Keypad screen editor: the K13U.SAV binary with its last two English strings translated («Работаю...», «Образ:»), from the vvv disks (h0, disk3, disk4). A PAPER-family copy differs by one word in a key table; K13U and the eight-disk build agree with this one, so this is the sound build",byte diff of the family 2026-09-06,3,788620421a597b319d7d3a604681026dcc5ac037ffcfa54024649ac1ce49072f
kits/common/development/PAS1.OBJ,PAS1.OBJ,object/library,,,en,ascii,,,"The OMSI Pascal run-time support module («Trap to 4», «Not a valid device», «End of file on device»…) every compiled program is LINKed with",strings 2026-09-06,6,9cdeed1f03b1beba382e3f91b5480812c82593ad646836a9fb5a853b3f4e4170
kits/common/development/PAS1.SAV,PAS1.SAV,program,assembler (no runtime library),text,en,ascii,ran,prompt; answers ?CSI-F-Файлненайден*,First pass of the Pascal compiler; prompts with * for a command line,program screen,13,0e79f7b1a31933c2e3de88655a04d0f3d7076de0f9bc4d2e968ef86aa79566fb
kits/common/development/PAS1HD.OBJ,PAS1HD.OBJ,object/library,,,,,,,A one-block object module whose only text is «Graphics library -- copyleft by Naumov A.I.» - the header of the graphics library,strings 2026-09-06,1,8539d3195820d901985969001af5cb21362a7ff44213435281196974b5044825
kits/common/development/PASCAL.LST,PASCAL.LST,text,,,ru+en,koi8-r,,,"The Pascal language listing/reference that came with the compiler. Two reads of disk5 survived; this is the clean one (the other has junk in blocks 130, 150, 168-170)",two disk5 reads compared 2026-09-06; canonical version picked in decisions.tsv,1,4164731eb6c0316177c03529f6520a3524f5d3d55101faad58c270a07ed43b99
kits/common/development/PASGR.DOC,PASGR.DOC,text,,,ru,koi8-r,,,"Manual of the Pascal graphics library PASGRF.OBJ: InitGraph, SetColor, SetFon, SetBorder, SetBright/ResBright, SetFlach, drawing and text routines, KbMode/inkey keyboard polling, with examples. Three reads of disk5 survived; this is the one clean one (the other two carry corrupt blocks 6-13 and 26)",three disk5 reads compared 2026-09-06; canonical version picked in decisions.tsv,1,115fea56ecb3a0478db499d55f72e8ff546ac3c820e7dd0c4117e3c28c9d9e1e
kits/common/development/PASGRF.OBJ,PASGRF.OBJ,object/library,,,,,,,"The graphics library for OMSI Pascal on the МС-0515: InitGraph, SetPixel, LINE, sprites - what the graphics programs LINK with",strings 2026-09-06,2,c9cadedc0f901468156074de010c7acd64a7ec216b39ddcee11e027b9ca5f94c
kits/common/development/PASLIB.OBJ,PASLIB.OBJ,object/library,,,,,,,"The Pascal library with the terminal routines (ClrScr, GotoXY, Inkey, KbMode, cursor on/off) the programs declare EXTERNAL",strings 2026-09-06,5,5d70cb23ee665c21d1085dd63cb8ff49b5b374c315c960a7e2dd8d61a4f7b4b1
kits/common/development/PASUSE.LST,PASUSE.LST,text,,,ru+en,koi8-r,,,"«ПАСКАЛЬ - руководство программиста», 45 sheets, 1982: the Pascal programmer's manual of the machine",title page 2026-09-06,1,4ec5d643b0f51c4ee7f6c74dc3e2601407fe72e593bfee0b5e57a0bd40294e8d
kits/common/development/R15.DOC,R15.DOC,text,,,ru+en,koi8-r,,,"«Описание работы с экранным редактором текста K13U(K52)» - the manual of the K13 family editor (R15/K13U/KED): the keypad map of the МС0515 (ПФ1-ПФ4, страница/абзац/добавить/стирзнак...), the editor's functions and commands",read 2026-09-06,2,d1558cc2f063ce1fec44cb0e5d36ca472ea7c1cf6e6318e5a181cb52fe3f8ed6
kits/common/development/R15.HLP,R15.HLP,text,,,ru,koi8-r,,,«Ввод псевдографических символов в редакторе R15» - how to enter pseudo-graphics in the editor with the КМП (compose) key,read 2026-09-06,2,e81b3cc401425fb588a23b3d546e63d52653f47ae992b9c7233720529863f90e
kits/common/development/R15.SAV,R15.SAV,program,assembler (no runtime library),text,ru+en,koi8-r,ran,"bare prompt, no answer to a bogus file name","«Редактор текста R15» V01.2 - Rodionov's edition of the K13U/KED screen editor (same 27648-byte binary, 952 bytes apart): every prompt Russian («Ждите...», «Повтор:», «Поиск:», «Команда:»), the help frame redrawn in pseudo-graphics, keypad functions ДАЛЕЕ/СТИРСТРОК/СПРАВКА...; prompts with * for the file name like the others",byte diff vs K13U 2026-09-06,2,7ffee26166acd7c68e7a2f2fea2b0be2aa6a8e95c0084d1050007eed01ad58ac
kits/common/development/REDUMP.SAV,REDUMP.SAV,program,assembler (no runtime library),text,en,ascii,ran,"bare prompt, no answer to a bogus file name","DEZI V05.01 by D. Climov with the banner hex-patched to 'REDUMP B5.0e' - a local rebadge of DESS.SAV, the same program (string tables byte-identical); unrelated to the small REDUMP.PAS in PROGS.DSK",banner comparison: 'REDUMP B5.0e ...ginally written by D. Climov',1,f29f7dc3113daf71b30c7fc31cc735c942b7c89cc82e0704b5cbbce640812239
kits/common/development/SETPIX.PAS,SETPIX.PAS,source,,,,,,,"SetPixel for the 640x200 hi-res screen written straight against the hardware: the pixel byte at VRAM 40000B + 80*y + x div 8, ORed with the bit mask, with the memory-dispatcher register 177400B / its shadow at 157700B switched to reach the video bank and restored; a one-call test main follows",read from the source 2026-09-06,2,f1dbfeead45c5e21a0af2338b0284140a650590fc9f0a6d66b8ad315b0250c70
kits/common/development/SPR.SAV,SPR.SAV,program,high-level (runtime library linked),text,ru+en,koi8-r,ran,,"«Программа создания файла спрайтов для языка PASCAL-RAFOS»: asks for the file name, the screen resolution (0 medium, 1 high) and then, sprite by sprite up to 256, the image colour, the background, the brightness and the blink, and writes the sprite file a Pascal program reads.  Not the BASIC «Редактор SPRITE» of SPRED.BAS and not what SPRED.DOC describes: the OMSI Pascal run-time messages are inside it («TRAP TO 4», «BAD SUPPORT PACKAGE»), so it was compiled with PAS1, and it answers an empty file name with «Я что-то не пойму, за каким хреном ты меня запускал?»",its own banner and the OMSI Pascal run-time strings in it 2026-09-22,4,578e60fc70a13db89e56c27dca9598b0a37aa427d6668cf20fb53c62f9e0975c
kits/common/development/STRING.PAS,STRING.PAS,source,,,,,,,"String library for OMSI Pascal (which has no string type): STRING = array[1..79] of char with STRINIT, STRLENG, STRREAD (raw keyboard input through the external KBMODE/INKEY of PASGRF, with backspace editing), STRWRITE, STRDELETE, STRINSERT and VAL (string to real with an error position); ends with a small self-test main",read from the source 2026-09-06,2,7810b7a6ababc2fc9dcd2fcc97fe88ec1d895b2f69e8b96702ad6c0348f41e71
kits/common/development/SYSLIB.OBJ,SYSLIB.OBJ,object/library,,,,,,,The RT-11 system library SYSLIB (28 KB) LINK draws the system calls from,strings 2026-09-06,5,5f12d6ff00e08484ca6b341f12f69f4cf634fe98aeee8cb3079342272a7d98e9
kits/common/development/SYSMAC.SML,SYSMAC.SML,object/library,,,en,ascii,,,MACRO-11 system macro library,DEC RT-11,4,a9d716957163b53d86ddd4f9f65a172b9c4c456aaf6272509fb0ec7f4716485e
kits/common/diag/183107.SAV,183107.SAV,program,assembler (no runtime library),text,ru,koi8-r,failed,dropped into ODT at 001414,"The factory exerciser (Uprazhnitel MS0515 V1.0) from the manual: prints its banner, tells the operator to set the work mode in cell 001076 and drops into ODT BY DESIGN - the mode is deposited with D and the run resumed with P.  The C* timing meters are its companions",program screen + factory manual,4,1840f4660b70291bcdcbf69bfd3e2d3acbba4949cf6bfc988182198d45b6f127
kits/common/diag/184106.SAV,184106.SAV,program,assembler (no runtime library),,ru,koi8-r,failed,dropped into ODT at 000020,Companion of the 183107 exerciser in .EXE form; enters ODT at 000020 on start - likely the same deposit-and-proceed interface,program screen; shipped as .SAV: the .EXE name is the collector's later renaming on disk4,1,320bcafba75eb6ccc004d95f8e1e009287a64f19827668f72246961d00d14f08
kits/common/diag/CADD.SAV,CADD.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures ADD in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,7c95a5ee11a96e0d4ffda41f21b084a827f48166a8dd3167a82e9503dbe174a2
kits/common/diag/CBIC.SAV,CBIC.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures BIC in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,3b24de048137d95135bf707e48420d101d634905b855d6a66994ebf73fb0216f
kits/common/diag/CBICB.SAV,CBICB.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures BICB in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,d1e6a85d3abf578303767a9f4aa3ccb4f6141b76c21bd37101991659f4f8c302
kits/common/diag/CBIS.SAV,CBIS.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures BIS in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,7fb87978bbf8a8c526cadd7377bfc4dcb0e4dea0925671019dc207f236ee0550
kits/common/diag/CBISB.SAV,CBISB.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures BISB in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,40b541de5d13d76e02f00dba8521721cc483d7e3da149ced750feebe2d4cdc54
kits/common/diag/CBIT.SAV,CBIT.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures BIT in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,fb39cba0174f62895e9d12fa488fa9110929fcad59304c39a9a54b42069cd9eb
kits/common/diag/CBITB.SAV,CBITB.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures BITB in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,28f683f4b628fe0fc1563a9f2889da5deec26e0784cee25fd1651568e2188019
kits/common/diag/CBR.SAV,CBR.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures branches in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,cf9621b33508c9b09ed1fb442264f007380fa9a3ec5c491e6f6b4d33b98e2903
